Temporada,Rodada,ID_Jogo,Data_Hora,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Estadio_Local,Publico,Odd_Mandante,Odd_Empate,Odd_Visitante,xG_Mandante,xG_Visitante,Posse_Mandante,Posse_Visitante,Finalizacoes_Mandante,Finalizacoes_Visitante,No_Alvo_Mandante,No_Alvo_Visitante,Defesas_Goleiro_Mandante,Defesas_Goleiro_Visitante,Chances_Claras_Mandante,Chances_Claras_Visitante,Escanteios_Mandante,Escanteios_Visitante,Passes_Mandante,Passes_Visitante,Amarelos_Mandante,Amarelos_Visitante,Vermelhos_Mandante,Vermelhos_Visitante,Trave_Mandante,Trave_Visitante,Faltas_Mandante,Faltas_Visitante
2026,8,6anCaYAT,21.03.2026 18:30,Fluminense,Atlético-MG,1,0,Maracanã (Rio de Janeiro),N/A,1.61,3.60,6.00,0.71,1.69,56%,44%,14,14,4,5,4,3,1,4,3,2,84%(394/467),78%(281/362),5,5,0,0,0,1,18,15
2026,8,pj7oEXPM,21.03.2026 16:00,Red Bull Bragantino,Botafogo,1,2,N/A,N/A,1.86,3.40,4.20,1.58,1.18,59%,41%,18,9,6,3,0,5,5,2,11,6,84%(335/400),72%(208/288),2,3,0,0,0,1,12,9
