Temporada,Rodada,ID_Jogo,Data_Hora,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Estadio_Local,Publico,Odd_Mandante,Odd_Empate,Odd_Visitante,xG_Mandante,xG_Visitante,Posse_Mandante,Posse_Visitante,Finalizacoes_Mandante,Finalizacoes_Visitante,No_Alvo_Mandante,No_Alvo_Visitante,Defesas_Goleiro_Mandante,Defesas_Goleiro_Visitante,Chances_Claras_Mandante,Chances_Claras_Visitante,Escanteios_Mandante,Escanteios_Visitante,Passes_Mandante,Passes_Visitante,Amarelos_Mandante,Amarelos_Visitante,Vermelhos_Mandante,Vermelhos_Visitante,Trave_Mandante,Trave_Visitante,Faltas_Mandante,Faltas_Visitante
2025,31,UTmdL1wB,21.03.2026 17:00,Leeds,Brentford,0,0,Elland Road (Leeds),36 386,2.38,3.50,3.00,0.54,0.46,57%,43%,14,6,4,2,2,4,0,0,6,2,80%(364/454),66%(231/352),2,0,0,0,0,0,6,9
2025,31,0lduPqvn,21.03.2026 14:30,Everton,Chelsea,3,0,N/A,52 547,3.20,3.40,2.25,1.17,0.93,36%,64%,10,12,9,4,4,5,2,2,3,9,81%(318/392),89%(617/690),0,2,0,0,0,1,6,7
2025,31,8EamNN8b,21.03.2026 12:00,Fulham,Burnley,3,1,Craven Cottage (Londres),N/A,1.55,4.33,5.75,3.15,1.24,55%,45%,22,9,6,5,4,3,4,4,6,6,85%(442/518),83%(343/413),2,2,0,1,0,0,6,9
